t,px,qty,sign,mm_involved,mid_mark,spread,maker_age_s,maker_queue_ahead_qty_entry
1.985695,99.8600000000,1,-1,0,99.7694759901,0.0400000000,0.450381,2
1.987270,99.9000000000,1,1,1,99.7593578061,0.0400000000,0.088781,1
2.001180,99.8600000000,1,-1,0,99.7922954429,0.0400000000,0.461484,3
2.039776,99.8500000000,1,-1,0,99.8569382575,0.0100000000,0.670267,0
2.044705,99.8600000000,1,1,1,99.8579404203,0.0100000000,0.025532,0
2.054821,99.8500000000,1,-1,0,99.8690296909,0.0100000000,0.530878,2
2.061227,99.8600000000,1,1,1,99.8728382275,0.0100000000,0.039565,1
2.078818,99.8500000000,1,-1,0,99.8409767199,0.0100000000,0.379150,4
2.079121,99.8600000000,1,1,1,99.8422391012,0.0200000000,0.056051,2
2.082793,99.8600000000,1,1,1,99.8649413261,0.0200000000,0.059561,3
2.083301,99.8600000000,1,1,1,99.8655649675,0.0200000000,0.058145,4
2.088687,99.8600000000,1,1,1,99.8475392186,0.0200000000,0.062625,5
2.092069,99.8600000000,1,1,1,99.8439429301,0.0200000000,0.050889,7
2.094259,99.8400000000,1,-1,1,99.8395903737,0.0200000000,0.793140,0
2.098908,99.8400000000,1,-1,0,99.8116383162,0.0200000000,0.713563,2
2.146193,99.8400000000,1,-1,0,99.8217346209,0.0100000000,0.726315,3
2.154743,99.8400000000,1,-1,0,99.8171621224,0.0100000000,0.095961,3
2.178971,99.8300000000,1,-1,1,99.8048186482,0.0200000000,0.881892,0
2.180672,99.8300000000,1,-1,1,99.8077413506,0.0200000000,0.880171,1
2.183532,99.8300000000,1,-1,1,99.8109275026,0.0200000000,0.881549,2
2.184415,99.8500000000,1,1,0,99.8115350018,0.0200000000,0.050858,0
2.187302,99.8300000000,1,-1,1,99.8138865777,0.0200000000,0.883337,3
2.192688,99.8300000000,1,-1,1,99.8173785008,0.0200000000,0.887322,5
2.201847,99.8300000000,1,-1,1,99.7919290696,0.0200000000,0.896318,6
2.210804,99.8300000000,1,-1,1,99.7648151200,0.0200000000,0.904751,7
2.218169,99.8300000000,1,-1,1,99.8027385857,0.0200000000,0.910559,8
2.230245,99.8300000000,1,-1,1,99.7943080162,0.0200000000,0.920751,9
2.232415,99.8300000000,1,-1,1,99.7887013916,0.0200000000,0.921834,10
2.236834,99.8300000000,1,-1,1,99.7793414699,0.0200000000,0.921402,11
2.247306,99.8300000000,1,-1,0,99.7784671367,0.0200000000,0.692430,15
2.251557,99.8300000000,1,-1,0,99.7709133926,0.0100000000,0.607088,14
2.268155,99.8300000000,1,-1,0,99.7607876871,0.0100000000,0.340418,14
2.276065,99.8300000000,1,-1,0,99.7465098021,0.0100000000,0.207918,14
2.288718,99.8400000000,1,1,1,99.7466543219,0.0200000000,0.039348,0
2.302279,99.8200000000,1,-1,1,99.7131357145,0.0200000000,0.984991,0
2.303909,99.8400000000,1,1,1,99.7212680569,0.0200000000,0.053742,1
2.321163,99.8200000000,1,-1,0,99.7198649813,0.0200000000,0.982697,1
2.332231,99.8200000000,1,-1,0,99.7551357414,0.0200000000,0.714711,3
2.360211,99.8200000000,1,-1,0,99.7378534087,0.0200000000,0.715244,4
2.386499,99.8200000000,1,-1,0,99.8145970176,0.0100000000,0.673058,5
2.386701,99.8300000000,1,1,1,99.8171465947,0.0100000000,0.019067,0
2.389897,99.8200000000,1,-1,0,99.7968645019,0.0100000000,0.461883,7
2.395935,99.8200000000,1,-1,0,99.7934871208,0.0100000000,0.452184,8
2.417860,99.8200000000,1,-1,0,99.7944610664,0.0100000000,0.375925,8
2.419706,99.8200000000,1,-1,0,99.7839484675,0.0100000000,0.286078,8
2.457339,99.8200000000,1,1,0,99.8324037457,0.0100000000,0.027731,0
2.460313,99.8300000000,1,1,1,99.8437167197,0.0200000000,0.091952,1
