step,equity,inventory,bid,ask,bid_missing,ask_missing,t,mid_mark,microprice,spread,bid_sz,ask_sz,imbalance,cash,inv_value,realized_pnl,unreal_pnl,fees_paid,mm_fills,mm_cancels_sub,mm_cancels_ok,mm_bid_px,mm_ask_px,mm_bid_qty,mm_ask_qty,mm_at_best_bid,mm_at_best_ask,tob_share_bid,tob_share_ask,last_trade_px,last_trade_sign
65,-8.7206000000,-55,99.9200000000,99.9300000000,0,0,6.600000,100.0000000000,99.9272222222,0.0100000000,13,5,0.444444,5491.2794000000,-5500.0000000000,-4.3444877806,-4.4755122194,-0.0994000000,497,897,93,99.9200000000,100.1700000000,1,1,1,0,0.0769230769,nan,99.9300000000,1
66,-11.1892000000,-58,99.9200000000,99.9400000000,0,0,6.700000,100.0400000000,99.9275862069,0.0200000000,11,18,-0.241379,5791.1308000000,-5802.3200000000,-4.3455919041,-6.9444080959,-0.1008000000,504,907,94,99.9200000000,100.1500000000,1,1,1,0,0.0909090909,nan,99.9200000000,-1
67,-11.7572000000,-64,99.9300000000,99.9400000000,0,0,6.800000,100.0400000000,99.9357894737,0.0100000000,11,8,0.157895,6390.8028000000,-6402.5600000000,-4.3534630286,-7.5065369714,-0.1028000000,514,919,96,99.9300000000,100.2000000000,1,1,1,0,0.0909090909,nan,99.9400000000,1
68,-13.9038000000,-79,99.9400000000,99.9500000000,0,0,6.900000,100.0500000000,99.9432432432,0.0100000000,12,25,-0.351351,7890.0462000000,-7903.9500000000,-4.3562391436,-9.6537608564,-0.1062000000,531,948,98,99.9400000000,100.2600000000,1,1,1,0,0.0833333333,nan,99.9500000000,1
69,-16.5230000000,-81,99.9400000000,99.9500000000,0,0,7.000000,100.0800000000,99.9438235294,0.0100000000,13,21,-0.235294,8089.9570000000,-8106.4800000000,-4.3678905122,-12.2621094878,-0.1070000000,535,950,99,99.9400000000,100.2300000000,1,1,1,0,0.0769230769,nan,99.9500000000,1
70,-22.5010000000,-87,99.9400000000,99.9500000000,0,0,7.100000,100.1400000000,99.9445833333,0.0100000000,11,13,-0.083333,8689.6790000000,-8712.1800000000,-4.3891312143,-18.2208687857,-0.1090000000,545,952,99,99.9400000000,100.2900000000,1,1,1,0,0.0909090909,nan,99.9500000000,1
71,-18.6789999999,-91,99.9400000000,99.9500000000,0,0,7.200000,100.0900000000,99.9461538462,0.0100000000,8,5,0.230769,9089.5110000001,-9108.1900000000,-4.4140839391,-14.3759160609,-0.1110000000,555,968,100,99.9400000000,100.3200000000,1,1,1,0,0.1250000000,nan,99.9400000000,-1
72,-23.1675999999,-96,99.9400000000,99.9600000000,0,0,7.300000,100.1300000000,99.9428000000,0.0200000000,7,43,-0.720000,9589.3124000001,-9612.4800000000,-4.4216744344,-18.8583255656,-0.1124000000,562,970,101,99.9400000000,100.2900000000,1,1,1,0,0.1428571429,nan,99.9600000000,1
73,-27.6152000000,-104,99.9500000000,99.9600000000,0,0,7.400000,100.1600000000,99.9536000000,0.0100000000,18,32,-0.280000,10389.0248000000,-10416.6400000000,-4.4424512036,-23.2875487964,-0.1148000000,574,1004,103,99.9500000000,100.4100000000,1,1,1,0,0.0555555556,nan,99.9600000000,1
74,-17.3836000000,-106,99.9500000000,99.9600000000,0,0,7.500000,100.0600000000,99.9535714286,0.0100000000,15,27,-0.285714,10588.9764000000,-10606.3600000000,-4.4824191020,-13.0175808980,-0.1164000000,582,1013,104,99.9500000000,100.3700000000,1,1,1,0,0.0666666667,nan,99.9600000000,1
75,-25.0116000000,-114,99.9500000000,99.9600000000,0,0,7.600000,100.1200000000,99.9545161290,0.0100000000,14,17,-0.096774,11388.6684000000,-11413.6800000000,-4.4950133160,-20.6349866840,-0.1184000000,592,1018,105,99.9500000000,100.3800000000,1,1,1,0,0.0714285714,nan,99.9600000000,1
76,-33.8194000000,-123,99.9500000000,99.9600000000,0,0,7.700000,100.1800000000,99.9565000000,0.0100000000,13,7,0.300000,12288.3206000000,-12322.1400000000,-4.5053098133,-29.4346901867,-0.1206000000,603,1020,105,99.9500000000,100.3800000000,1,1,1,0,0.0769230769,nan,99.9600000000,1
77,-29.9074000000,-129,99.9500000000,99.9700000000,0,0,7.800000,100.1400000000,99.9622222222,0.0200000000,11,7,0.222222,12888.1526000000,-12918.0600000000,-4.5230033083,-25.5069966917,-0.1226000000,613,1030,106,99.9500000000,100.4600000000,1,1,1,0,0.0909090909,nan,99.9700000000,1
78,-10.6854000000,-137,99.9600000000,99.9800000000,0,0,7.900000,99.9900000000,99.9683333333,0.0200000000,10,14,-0.166667,13687.9446000000,-13698.6300000000,-4.5398980203,-6.2701019797,-0.1246000000,623,1044,108,99.9600000000,100.3700000000,1,1,1,0,0.1000000000,nan,99.9800000000,1
